steam_id,game_list,play_time_recommend
0,"['220', '340', '240', '4000', '2310', '20', '50', '70', '130', '280', '320', '360', '380', '420', '10090', '17410', '6060', '34900', '32400', '32380', '550', '223530', '10680', '32440', '8190', '33220', '32470', '33910', '33930', '219540', '57300', '31280', '40800', '38720', '99810', '94000', '620', '105600', '96100', '35450', '236830', '24240', '102600', '205790', '67370', '208580', '104900', '32370', '113200', '209270', '204300', '204360', '49520', '219150', '57690', '215470', '220240', '221260', '224540', '38830', '51100', '99900', '107900', '200210', '205710', '208090', '212800', '230410', '236390', '238070', '39000', '223710', '234330', '237310', '248570', '265630', '202090', '224260', '226320', '239220', '245550', '343450', '224580', '225140', '233720', '234710', '219740', '322330', '204450', '241600', '242760', '242860', '242880', '1250', '35420', '207140', '368730', '239030', '239350', '219640', '232210', '250900', '252490', '252950', '205100', '233130', '255520', '213670', '257710', '247000', '247910', '35140', '263760', '263980', '264710', '265210', '265810', '265930', '266430', '221100', '269030', '270450', '272890', '273110', '274190', '274230', '274290', '274350', '222880', '225840', '8870', '291010', '234530', '298260', '238460', '302830', '304930', '305260', '238090', '306830', '310380', '291480', '312990', '227940', '314280', '222900', '317360', '319510', '229810', '241930', '326960', '329380', '330570', '730', '218620', '332800', '333930', '335300', '337320', '337950', '2400', '2420', '2430', '343330', '239140', '346010', '346110', '407530', '346900', '298630', '354430', '355180', '355250', '355840', '356500', '356670', '297130', '359050', '361670', '361690', '303390', '365590', '365660', '274270', '311210', '366844', '368990', '373180', '374570', '377160', '381210', '384360', '383870', '386360', '386880', '388090', '352460', '253030', '394690', '234140', '299360', '407840', '410110', '418070', '427270', '359550', '427730', '424280', '434730', '441550', '449540', '273350']","['219640', '251570', '208610', '238210', '291550']"
1,"['300', '240', '4000', '500', '22300', '17390', '6060', '20530', '550', '223530', '8190', '33910', '33930', '219540', '22380', '31280', '40800', '620', '105600', '107300', '107310', '72850', '10220', '104900', '211420', '730', '204300', '204360', '219150', '203140', '205930', '218680', '104700', '109600', '113400', '113420', '203290', '206210', '208090', '213650', '218230', '230410', '238960', '248570', '265630', '202090', '223750', '224260', '239220', '224580', '227100', '203160', '233450', '233720', '206190', '242760', '242920', '224060', '238240', '244850', '224540', '207140', '368730', '246900', '255520', '265210', '230860', '218620', '239820', '250340', '219640', '232210', '251570', '252490', '252950', '107410', '233130', '247000', '238430', '261180', '263060', '263760', '264140', '266170', '266430', '211820', '367540', '221100', '25000', '234190', '270170', '94400', '274190', '274290', '225840', '48700', '239160', '270550', '293540', '286160', '296470', '298630', '297810', '301520', '301640', '304030', '304050', '304930', '63380', '224600', '227700', '9480', '55230', '206420', '311340', '312530', '291480', '312990', '227940', '274900', '317360', '205790', '274940', '323370', '323850', '307690', '17570', '333930', '333950', '349110', '219740', '322330', '2400', '2420', '2430', '341190', '353360', '360170', '291550', '234140', '394380', '396260', '299360', '427730', '449470']","['230410', '284160', '206420', '234140', '218230']"
2,"['240', '300', '320', '340', '220', '4000', '2400', '2420', '2430', '400', '500', '12200', '22300', '10090', '17470', '22120', '22140', '22180', '24740', '1250', '35420', '6060', '34900', '550', '223530', '40100', '24960', '8190', '6800', '6810', '6830', '6840', '43110', '33910', '33930', '219540', '17410', '42700', '42710', '8980', '12210', '12220', '40800', '620', '105600', '20920', '24240', '65800', '72850', '202200', '105450', '65300', '22380', '207650', '41000', '41050', '41060', '41070', '111600', '200330', '201480', '204340', '227780', '200260', '108800', '91310', '113200', '730', '55230', '49520', '203140', '200170', '205790', '219640', '232210', '211400', '57690', '202970', '202990', '212910', '113020', '220440', '227300', '38830', '207230', '218230', '230410', '236390', '223710', '248570', '224260', '224580', '204240', '227100', '221040', '233150', '107410', '233450', '224600', '222480', '233720', '222730', '228300', '206190', '242760', '242860', '237110', '224540', '216250', '207140', '368730', '214770', '239030', '239070', '47790', '47830', '239820', '252410', '252490', '252950', '253030', '241540', '247730', '243470', '221380', '263420', '264200', '215530', '211820', '367540', '221100', '25000', '234190', '270550', '210770', '4500', '20510', '41700', '8930', '271290', '228380', '272860', '273110', '222880', '48700', '254700', '235210', '285580', '286160', '222900', '296470', '238460', '301520', '65790', '304930', '302380', '291480', '227940', '232430', '317360', '45760', '226720', '211420', '333930', '335240', '335300', '322330', '250900', '219150', '274170', '12120', '12250', '271590', '346900', '287290', '35450', '255710', '7670', '8850', '8870', '409710', '409720', '329050', '386360', '299360', '413150', '359550']","['346110', '214950', '386360', '218230', '225840']"
3,"['1200', '1230', '1280', '320', '340', '360', '380', '2400', '2420', '2430', '1690', '4000', '3480', '6910', '220', '400', '420', '2500', '11200', '2700', '22000', '3540', '17470', '4700', '4760', '4770', '10500', '24740', '26500', '22200', '3590', '3900', '3990', '8800', '16810', '34440', '34450', '34460', '25900', '20530', '11390', '20500', '40700', '20900', '23490', '41000', '41800', '3170', '3130', '29120', '29130', '41100', '264080', '8190', '49900', '23140', '46420', '46430', '20820', '47000', '24780', '17410', '60700', '63600', '63610', '63620', '63630', '63640', '63650', '63660', '2200', '2270', '2280', '2290', '2300', '2310', '2320', '2330', '2340', '2350', '2360', '2370', '2390', '9000', '9010', '9030', '9040', '9050', '9060', '9070', '9160', '9180', '22310', '22320', '22330', '22340', '22370', '57300', '31280', '22600', '38600', '32360', '32460', '70100', '70110', '70900', '1250', '35420', '22380', '12210', '12220', '18400', '72400', '62000', '72200', '21100', '92800', '44320', '321040', '44340', '70000', '620', '56400', '98200', '91200', '20920', '94200', '21090', '21110', '21120', '16450', '24670', '19680', '97000', '70120', '44200', '42890', '39500', '39510', '65540', '32800', '107100', '107200', '111600', '17710', '1500', '1510', '1520', '1530', '107800', '201480', '41050', '41060', '41070', '200330', '227780', '24480', '202200', '204340', '64000', '206410', '203560', '204440', '201700', '25990', '73230', '208640', '207170', '208670', '207690', '203630', '207610', '211440', '205350', '104900', '200260', '212680', '204180', '108800', '12750', '12830', '12810', '12770', '214830', '35140', '209080', '214360', '234740', '10', '80', '100', '240', '730', '72000', '218640', '220780', '208630', '208620', '7830', '220860', '25830', '200710', '18450', '18460', '18420', '219150', '223000', '220820', '218680', '211400', '218740', '201790', '209190', '224420', '65800', '227320', '227220', '50620', '50650', '388410', '35720', '215710', '204080', '57690', '218130', '236390', '224580', '8930', '225260', '33900', '33930', '65700', '65720', '219540', '227260', '232950', '225140', '70600', '70620', '70640', '70650', '70660', '200170', '217200', '220660', '224600', '15960', '16000', '32140', '60340', '44350', '113020', '202270', '235250', '233720', '224760', '234650', '220200', '31100', '31110', '31120', '31130', '31220', '31230', '31240', '31250', '31260', '31270', '31290', '94500', '94510', '94520', '94530', '94590', '94600', '94610', '94620', '238210', '234350', '222730', '210770', '236090', '231160', '235720', '242880', '24420', '228960', '217140', '208140', '9480', '40390', '55230', '225640', '91310', '40300', '43110', '207930', '242630', '246700', '63910', '214770', '244590', '248530', '248650', '2800', '2810', '2840', '2850', '2820', '201310', '47790', '47830', '249650', '225280', '241240', '250180', '250260', '111900', '251530', '251710', '252170', '252490', '253030', '243450', '243800', '245410', '245430', '245450', '255370', '256350', '222710', '241790', '305280', '352280', '9350', '9420', '39650', '55110', '39690', '65530', '214870', '258010', '258200', '247000', '11450', '12710', '238010', '259390', '232010', '260570', '238430', '207750', '18500', '3020', '221380', '16700', '40970', '263360', '264280', '260750', '260770', '226980', '227300', '215530', '265240', '265330', '42910', '266130', '266210', '4800', '201040', '267960', '270770', '270790', '241070', '550', '223530', '7670', '8850', '8870', '409710', '409720', '274310', '274800', '275610', '265930', '236130', '282760', '283390', '4560', '34010', '205230', '228200', '34270', '99300', '203750', '246580', '286040', '287020', '289200', '289500', '291710', '292160', '219740', '322330', '115210', '4880', '115200', '261510', '293720', '20510', '3050', '200370', '296180', '35450', '236830', '298600', '300550', '203140', '205930', '65790', '253470', '250400', '242570', '8600', '8660', '211500', '63380', '302380', '307600', '8980', '49520', '314230', '315260', '315430', '202090', '321070', '326670', '331670', '397460', '205950']","['427520', '9450', '327860', '271590', '110800']"
4,"['240', '4000', '220', '340', '12200', '1250', '35420', '6800', '550', '223530', '40100', '6810', '6830', '6840', '33910', '33930', '219540', '57300', '8930', '22380', '31280', '31290', '94500', '94510', '94520', '94530', '105600', '31270', '91700', '113200', '72850', '41070', '94590', '204340', '207610', '7660', '50650', '214360', '234740', '730', '218640', '212680', '49520', '200710', '205790', '4920', '57690', '201790', '224540', '218130', '99900', '102700', '200210', '206210', '208090', '212160', '230410', '236390', '238960', '223710', '262410', '265630', '224260', '239220', '253710', '263540', '224580', '204240', '233450', '210770', '219740', '322330', '234650', '218620', '242760', '6880', '8190', '246900', '255520', '265210', '247020', '239030', '248860', '239820', '250340', '251570', '252490', '107410', '213670', '245390', '42910', '261030', '263060', '264710', '221100', '211820', '367540', '247730', '222880', '48700', '282440', '287020', '233290', '270550', '298240', '298630', '299740', '301520', '65790', '304050', '304930', '307880', '313160', '227940', '265750', '313340', '250400', '323060', '323370', '35450', '236830', '6850', '6860', '6870', '6900', '6910', '6920', '6980', '7000', '8000', '8080', '8140', '8170', '28000', '35130', '203140', '203160', '205930', '211600', '211740', '224300', '224920', '224940', '224960', '224980', '225000', '225020', '225300', '225320', '238010', '239160', '242960', '247430', '258180', '24240', '305620', '282070', '333930', '250900', '340150', '316390', '344760', '346010', '346110', '407530', '346900', '349700', '255710', '355840', '359580', '363970', '368360', '374320', '377160', '383580', '385710', '234140', '393420', '445900', '404410', '408990', '236110', '280790', '415860', '417860', '427520', '441790', '449040', '378370', '485380', '496920', '319630', '397060']","['234650', '9450', '329110', '359320', '394360']"
5,"['2500', '1510', '3910', '4000', '1520', '220', '320', '340', '360', '380', '400', '420', '12160', '13520', '19900', '7740', '18500', '17470', '23310', '24740', '16720', '22200', '9870', '21680', '6060', '21670', '11390', '32400', '32380', '24800', '7780', '1500', '20900', '23490', '41000', '550', '223530', '1530', '32430', '32440', '18820', '38700', '38230', '11200', '42120', '24960', '8190', '35140', '46410', '6800', '6810', '6830', '6840', '45400', '32470', '42500', '17410', '22600', '80360', '2450', '31280', '31290', '94500', '94510', '94520', '94530', '92300', '47780', '21100', '73010', '12120', '12250', '92800', '91900', '95300', '70000', '620', '92000', '249610', '45760', '91200', '105600', '20920', '12140', '12150', '57900', '31270', '22000', '42160', '206980', '21090', '21110', '21120', '16450', '49600', '19680', '70120', '44200', '46540', '25620', '50130', '8980', '98800', '96100', '9500', '32800', '57800', '111600', '46560', '70600', '24240', '8930', '34830', '102840', '55230', '107800', '70620', '70640', '70660', '70650', '201480', '110800', '71340', '35700', '41050', '41060', '41070', '200330', '227780', '201570', '42910', '12200', '6100', '202710', '203810', '202090', '105450', '205790', '18700', '26500', '26900', '41100', '70300', '2400', '2420', '2430', '204340', '202530', '111100', '37400', '37420', '42170', '207570', '208090', '96400', '208580', '206690', '108710', '96800', '216370', '225760', '209690', '207690', '209120', '203630', '211440', '200710', '211600', '205350', '104900', '212030', '32370', '205930', '212680', '211380', '202750', '108800', '3830', '48000', '57300', '204060', '107100', '200390', '26800', '40800', '209830', '12750', '209790', '213030', '214420', '205910', '214830', '91310', '210770', '96300', '204100', '204840', '113200', '207230', '217200', '214150', '204220', '204630', '202170', '10', '80', '100', '240', '730', '215670', '214790', '207670', '200510', '204300', '200260', '218640', '214970', '214560', '219740', '322330', '220780', '220860', '214870', '215060', '221260', '1200', '1230', '1250', '1280', '35420', '35450', '35460', '35480', '236830', '204360', '91600', '208200', '219640', '232210', '218680', '223510', '219150', '223220', '211400', '57650', '57690', '207040', '218740', '4920', '201790', '1930', '38600', '225140', '220240', '6860', '6850', '224960', '225300', '225320', '44690', '223630', '4560', '9340', '20540', '43110', '50620', '55110', '228200', '45740', '45770', '25890', '214510', '12110', '12240', '226120', '34870', '224420', '212700', '4570', '113020', '22350', '220440', '65800', '219680', '200900', '224540', '218130', '35720', '211280', '215710', '212480', '220090', '204080', '212500', '218230', '230410', '243870', '224260', '257730', '230170', '224580', '225260', '229660', '33900', '33930', '65700', '65720', '219540', '24460', '24470', '24480', '107410', '21690', '234490', '234710', '232770', '44350', '222480', '235250', '234190', '233270', '215690', '228300', '239450', '218620', '235720', '231740', '242800', '233250', '228960', '98200', '238240', '244870', '241320', '237110', '218820', '9480', '40390', '225640', '207140', '368730', '40300', '207930', '234390', '246740', '243780', '244590', '248190', '248610', '248650', '248820', '9710', '47790', '47830', '238280', '249650', '209000', '225280', '249990', '226720', '250180', '250580', '214550', '111900', '222900', '251690', '252950', '253900', '253980', '254000', '254020', '254040', '254060', '227600', '234000', '255370', '249870', '249130', '236510', '238910', '233130', '255520', '257710', '257890', '45500', '49520', '221040', '224300', '224920', '224940', '242960', '207750', '252150', '244930', '242700', '262210', '263060', '263260', '263980', '264360', '264540', '260750', '260770', '227300', '215530', '266130', '266430', '201040', '267490', '221100', '267940', '268240', '268810', '269210', '270450', '251970', '235460', '7670', '8850', '8870', '409710', '409720', '203160', '271860', '274310', '222880', '274560', '274900', '275470', '275490', '278460', '280440', '280930', '235210', '254700', '282440', '283290', '283370', '283430', '283880', '284460', '284950', '285160', '285580', '285840', '286120', '287100', '249380', '288470', '233290', '274190', '290730', '290930', '291290', '291330', '291550', '214320', '292370', '292380', '292390', '292410', '292600', '292630', '261510', '293540', '293840', '293880', '295550', '295730', '295930', '296050', '296630', '296910', '297020', '297210', '297860', '298260', '298340', '298520', '299260', '299460', '299700', '299720', '299800', '300040', '300220', '216250', '286690', '287390', '301690', '301700', '301750', '65790', '302270', '303390', '303410', '304930', '305260', '250400', '8600', '8660', '211500', '63380', '302380', '307070', '307170', '307290', '270570', '308580', '227700', '310380', '310450', '310950', '311340', '312220', '312610', '282010', '282030', '244630', '312990', '314020', '314250', '314280', '206420', '277950', '315070', '315430', '317410', '317470', '315260', '226320', '233720', '293500', '318100', '319180', '319910', '6900', '203140', '247430', '320540', '321260', '321400', '274170', '321950', '322290', '221380', '241930', '307690', '238320', '252050', '266290', '270850', '284290', '326110', '329950', '21000', '213330', '313690', '330350', '331200', '332310', '332480', '335240', '335430', '335560', '336200', '331650', '338050', '319630', '339290', '304650', '340200', '341120', '341190', '343100', '271590', '301910', '343360', '346370', '287290', '351570', '354430', '354500', '354510', '354520', '354530', '354540', '354550', '494710', '355250', '355520', '356500', '357650', '357900', '236450', '232090', '232150', '361640', '361670', '361690', '346680', '362890', '363490', '298180', '238370', '397080', '368990', '369100', '360480', '372000', '373110', '375010', '378020', '381940', '382110', '382350', '383180', '383790', '385830', '295790', '253030', '392060', '398210', '400110', '15700', '413850', '413851', '413852', '413853', '413854', '413855', '413856', '413857', '413858', '413859', '458250', '458260', '458270', '458280', '458300', '458310', '458320', '497810', '497811', '497812', '497813', '416110', '415880', '243470', '304240', '339340', '428430', '234670', '349040', '432150', '436820', '441550', '34270', '205230', '205950', '446770', '327140', '386690', '448280', '450390', '457420', '457580', '463250', '368750', '468700', '477270', '486780', '497820', '273350']","['239160', '314710', '331600', '379720', '236390']"
6,"['10', '80', '100', '70', '220', '340', '240', '4000', '400', '22300', '550', '223530', '7520', '40800', '620', '105600', '113200', '7730', '31700', '98400', '209080', '730', '215510', '49520', '204360', '23490', '33520', '33530', '57600', '55230', '11020', '99900', '230410', '39000', '209870', '248570', '265630', '248820', '218620', '250760', '237740', '214550', '250900', '253430', '253530', '235800', '242680', '254440', '263760', '268750', '269890', '225840', '282440', '286160', '296510', '298520', '298630', '238460', '301190', '304930', '308460', '311690', '312990', '261180', '333930', '35140', '200260', '208650', '209000', '267490', '338170', '352520', '354140', '354860', '219740', '322330', '377160', '383980', '291550', '391540', '57300', '417860', '34270', '205230', '205950', '449040', '214850']","['6860', '427190', '219640', '335240', '238210']"
7,"['240', '4000', '6850', '6860', '12900', '20', '50', '70', '130', '220', '280', '320', '340', '360', '380', '420', '10090', '16450', '6060', '10180', '10190', '550', '223530', '42700', '42710', '40800', '400', '620', '105600', '42680', '42690', '24240', '12100', '12110', '12120', '12230', '12240', '12250', '22380', '110800', '207610', '6900', '204180', '12210', '12220', '730', '200510', '57690', '204100', '11020', '17080', '36620', '200210', '203290', '212500', '218230', '230410', '236390', '238960', '243870', '39000', '39120', '209870', '214420', '262410', '265630', '271290', '223750', '224260', '224580', '203160', '232950', '220200', '231160', '72850', '242760', '41070', '200330', '244850', '218620', '235600', '250320', '219640', '232210', '49520', '247430', '242050', '263980', '266430', '8930', '222880', '274560', '287700', '33910', '33930', '65700', '65720', '219540', '291010', '299460', '300570', '203140', '205930', '301520', '304050', '304410', '304930', '250400', '63380', '311340', '291480', '312990', '268420', '227940', '314160', '315430', '205790', '333930', '257510', '341310', '342200', '342980', '346900', '351800', '7670', '8850', '8870', '409710', '409720', '248610', '363970', '365720', '370360', '370510', '236870', '380840', '367580', '385630', '385770', '291550', '391260', '391420', '397500', '400250', '404410', '407230', '359320', '310380', '444640', '48000']","['222880', '386360', '365670', '374320', '254700']"
8,"['10', '80', '100', '20', '40', '50', '130', '220', '340', '280', '360', '3830', '240', '4000', '400', '12140', '12150', '12900', '500', '7740', '19980', '22200', '1250', '35420', '11390', '20900', '23490', '41000', '18820', '38700', '33230', '8190', '46410', '43110', '17410', '70300', '12210', '12220', '40800', '92800', '70000', '620', '91200', '92100', '105600', '104600', '111800', '110800', '72850', '201570', '202090', '205790', '37400', '37420', '207650', '208090', '203630', '211440', '211600', '104900', '213030', '209080', '204630', '730', '215510', '218640', '206440', '55230', '204360', '220860', '211670', '219150', '57690', '218740', '1930', '6850', '219740', '322330', '226120', '221640', '224420', '225140', '225160', '226700', '212480', '13140', '17080', '102700', '113400', '218230', '230410', '236390', '243870', '286080', '209870', '223710', '248570', '265630', '224260', '245550', '343450', '225260', '218060', '233740', '8870', '227720', '230050', '232770', '233720', '235250', '224760', '234190', '233270', '238210', '234490', '206190', '35720', '233250', '239450', '239030', '248550', '218620', '206420', '250420', '222900', '252950', '253900', '253980', '254000', '254020', '254040', '254060', '238910', '257750', '235800', '238010', '221910', '264730', '265210', '266430', '270210', '270550', '550', '223530', '271590', '272060', '94400', '273110', '274170', '274900', '225840', '278360', '265930', '282440', '282880', '285840', '49600', '290930', '291010', '238460', '292390', '292630', '293840', '295690', '296910', '297210', '35450', '236830', '298600', '299460', '8980', '239430', '301520', '65790', '303210', '303390', '304930', '8600', '8660', '211500', '63380', '224600', '227700', '310370', '311480', '291480', '244630', '312990', '317360', '315260', '258160', '318430', '321110', '321150', '323320', '323370', '238590', '326960', '24240', '329380', '333930', '335240', '341190', '341800', '316390', '344040', '346120', '346900', '351800', '354240', '354500', '354510', '354520', '354530', '354540', '354550', '494710', '355840', '356670', '359050', '232090', '232150', '361700', '361710', '361720', '361730', '361740', '361750', '361760', '361770', '361780', '495460', '362180', '362190', '362200', '362210', '362220', '362230', '362240', '362250', '362260', '362270', '362280', '495470', '346680', '362890', '363620', '365720', '368990', '373180', '374570', '223470', '380890', '382120', '367570', '385200', '387860', '295790', '388420', '391540', '392870', '394690', '397990', '398710', '400240', '57300', '416690', '417860', '422250', '427920', '439910', '310380', '441870', '34270', '205230', '205950', '4720', '203750', '99300', '211160', '449040', '468490', '48000', '312450', '443080', '397060']","['444640', '261640', '359550', '203770', '346120']"
9,"['4000', '8190', '620', '105600', '72850', '211420', '204360', '224540', '113020', '242760', '248820', '222880', '257750', '211820', '367540', '274900', '250180', '236430', '8870', '205790', '323470', '250760', '335300']",
