title,id,score,desc,short_desc,developer,thumbnail,url,price
hotline miami,219150,0.9870153258370552,"Hotline Miami is a high-octane action game overflowing with raw brutality, hard-boiled gunplay and skull crushing close combat. Set in an alternative 1989 Miami, you will assume the role of a mysterious antihero on a murderous rampage against the shady underworld at the behest of voices on your answering machine. Soon you'll find yourself struggling to get a grip of what is going on and why you are prone to these acts of violence.Rely on your wits to choreograph your way through seemingly impossible situations as you constantly find yourself outnumbered by vicious enemies. The action is unrelenting and every shot is deadly so each move must be quick and decisive if you hope to survive and unveil the sinister forces driving the bloodshed. Hotline Miami’s unmistakable visual style, a driving soundtrack, and a surreal chain of events will have you question your own thirst for blood while pushing you to the limits with a brutally unforgiving challenge.","Hotline Miami is a high-octane action game overflowing with raw brutality, hard-boiled gunplay and skull crushing close combat.",Dennaton Games,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/219150/ss_263387d83df0626c58a484baa8f78f9394074b76.600x338.jpg?t=1686261983,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/219150/header.jpg?t=1686261983,9.75
the binding of isaac rebirth,250900,0.9869232359493748,"New DLC Available the GameWhen Isaac’s mother starts hearing the voice of God demanding a sacrifice be made to prove her faith, Isaac escapes into the basement facing droves of deranged enemies, lost brothers and sisters, his fears, and eventually his mother. GameplayThe Binding of Isaac is a randomly generated action RPG shooter with heavy Rogue-like elements. Following Isaac on his journey players will find bizarre treasures that change Isaac’s form giving him super human abilities and enabling him to fight off droves of mysterious creatures, discover secrets and fight his way to safety.About the Binding Of Isaac: RebirthThe Binding of Isaac: Rebirth is the ultimate of remakes with an all-new highly efficient game engine (expect 60fps on most PCs), all-new hand-drawn pixel style artwork, highly polished visual effects, all-new soundtrack and audio by the the sexy Ridiculon duo Matthias Bossi + Jon Evans. Oh yeah, and hundreds upon hundreds of designs, redesigns and re-tuned enhancements by series creator, Edmund McMillen. Did we mention the poop?Key Features:Over 500 hours of gameplay4 BILLION Seeded runs!20 Challenge runs450+ items, including 160 new unlockablesIntegrated controller support for popular control pads!Analog directional movement and speedTons of feature film quality animated endingsOver 100 specialized seeds2-Player local co-opOver 100 co-op charactersDynamic lighting, visual effects and art directionAll-new game engine @60FPS 24/7All-new soundtrack and sound designMultiple Save slotsPoop physics!The ultimate roguelikeA bunch of achievementsUber secrets including: 10 Playable Characters100+ enemies, with new designsOver 50 bosses, including tons of new and rare bossesRooms FULL OF POOP!Mystic RunesUpgradeable shops","The Binding of Isaac: Rebirth is a randomly generated action RPG shooter with heavy Rogue-like elements. Following Isaac on his journey players will find bizarre treasures that change Isaac’s form giving him super human abilities and enabling him to fight off droves of mysterious creatures, discover secrets and fight his way to safety.","['Nicalis, Inc.', 'Edmund McMillen']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/250900/ss_25a4a446a433218d41a7e87e35b60c297e68e7a4.600x338.jpg?t=1617174663,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/250900/header.jpg?t=1617174663,14.99
ftl faster than light,212680,0.9868298304918702,"FTL is now available in 9 languages!  English, German, Spanish, French, Italian, Polish, Brazilian Portuguese, Russian and Simplified Mandarin!************************The free expansion, FTL: Advanced Edition, is available now!  Content additions include: new alien race, events, weapons, playable ships, drones, and more!  Also adds additional musical tracks by Ben Prunty, and events by Tom Jubert and guest writer Chris Avellone. If you already own FTL it should update the new content automatically.  Advanced Edition is included free for anyone who purchases the game from this point forward.************************In FTL you experience the atmosphere of running a spaceship trying to save the galaxy. It's a dangerous mission, with every encounter presenting a unique challenge with multiple solutions. What will you do if a heavy missile barrage shuts down your shields? Reroute all power to the engines in an attempt to escape, power up additional weapons to blow your enemy out of the sky, or take the fight to them with a boarding party? This ""spaceship simulation roguelike-like"" allows you to take your ship and crew on an adventure through a randomly generated galaxy filled with glory and bitter defeat.Key Features:Complex Strategic Gameplay - Give orders to your crew, manage ship power distribution and choose weapon targets in the heat of battle.Play at Your Own Speed - Pause the game mid-combat to evaluate your strategy and give orders.Unique Lifeforms and Technology – Upgrade your ship and unlock new ones with the help of six diverse alien races.Be the Captain You Want - Hundreds of text based encounters will force you to make tough decisions.Randomized Galaxy - Each play-through will feature different enemies, events, and results to your decisions. No two play-throughs will be quite the same.No Second Chances! - Permadeath means when you die, there's no coming back. The constant threat of defeat adds importance and tension to every action.","This ""spaceship simulation roguelike-like"" allows you to take your ship and crew on an adventure through a randomly generated galaxy filled with glory and bitter defeat.",['Subset Games'],https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/212680/ss_052d698926073e8d407a864f0e63a486af24ec0d.600x338.jpg?t=1689017446,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/212680/header.jpg?t=1689017446,9.99
portal 2,620,0.9852322447221395,"Portal 2 draws from the award-winning formula of innovative gameplay, story, and music that earned the original Portal over 70 industry accolades and created a cult following.										The single-player portion of Portal 2 introduces a cast of dynamic new characters, a host of fresh puzzle elements, and a much larger set of devious test chambers. Players will explore never-before-seen areas of the Aperture Science Labs and be reunited with GLaDOS, the occasionally murderous computer companion who guided them through the original game. 										The game’s two-player cooperative mode features its own entirely separate campaign with a unique story, test chambers, and two new player characters. This new mode forces players to reconsider everything they thought they knew about portals. Success will require them to not just act cooperatively, but to think cooperatively.  Product Features Extensive single player: Featuring next generation gameplay and a wildly-engrossing story. Complete two-person co-op: Multiplayer game featuring its own dedicated story, characters, and gameplay. Advanced physics: Allows for the creation of a whole new range of interesting challenges, producing a much larger but not harder game. Original music. Massive sequel: The original Portal was named 2007's Game of the Year by over 30 publications worldwide.  Editing Tools: Portal 2 editing tools will be included. ","The ""Perpetual Testing Initiative"" has been expanded to allow you to design co-op puzzles for you and your friends!",['Valve'],https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/620/ss_f3f6787d74739d3b2ec8a484b5c994b3d31ef325.600x338.jpg?t=1698805825,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/620/header.jpg?t=1698805825,9.99
the walking dead,207610,0.9787774348422524,"The Walking Dead is a five-part game series set in the same universe as Robert Kirkman’s award-winning comic book series. Play as Lee Everett, a convicted criminal, who has been given a second chance at life in a world devastated by the undead. With corpses returning to life and survivors stopping at nothing to maintain their own safety, protecting an orphaned girl named Clementine may offer him redemption in a world gone to hell. Based on Robert Kirkman’s Eisner-Award winning comic book series, The Walking Dead allows gamers to experience the true horror of the zombie apocalypse. A tailored game experience: live with the profound and lasting consequences of the decisions that you make in each episode. Your actions and choices will affect how your story plays out across the entire series. You’ll be forced to make decisions that are not only difficult, but that will require you to make an almost immediate choice. There’s no time to ponder when the undead are pounding the door down!",A five-part adventure horror series set in the same universe as Robert Kirkman’s award-winning comic book series.,['Telltale Games'],https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/207610/ss_7a2c18f45ed5c6464ae803ae49c32bf3717ae375.600x338.jpg?t=1681496660,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/207610/header.jpg?t=1681496660,14.79
kerbal space program,220200,0.9774299703877924,"In Kerbal Space Program, take charge of the space program for the alien race known as the Kerbals. You have access to an array of parts to assemble fully-functional spacecraft that flies (or doesn’t) based on realistic aerodynamic and orbital physics. Launch your Kerbal crew into orbit and beyond (while keeping them alive) to explore moons and planets in the Kerbol solar system, constructing bases and space stations to expand the reach of your expedition.Kerbal Space Program features three gameplay modes. In Science Mode, perform space experiments to unlock new technology and advance the knowledge of Kerbalkind. In Career Mode, oversee every aspect of the space program, including construction, strategy, funding, upgrades, and more. In Sandbox, you are free to build any spacecraft you can think of, with all parts and technology in the game.Key Features Build spaceships, rockets, and vehicles using any imaginable combination of parts, each with their own function that will affect the way your spacecraft behaves. Take full control over your ship’s setup to execute complex flight maneuvers.  Manage your Kerbal crewmembers, including hiring, training, and sending them into space to become heroes.  Discover a whole star system with unique moons and planets, exploring detailed terrain at a vast scale.  Send your Kerbal crew outside their ships for “extra-vehicular” activities. Dock spacecraft together to construct space stations, massive starships, and surface bases on new planets.  Use satellites to scan terrain and find biomes and other anomalies. Set up communications networks to communicate between your spacecraft and Kerbal Space Center. Research and develop new technologies to extract valuable information and resources from all over the solar system, and much more!Try out the many mods created by the Kerbal Space Program community!","In Kerbal Space Program, take charge of the space program for the alien race known as the Kerbals. You have access to an array of parts to assemble fully-functional spacecraft that flies (or doesn’t) based on realistic aerodynamic and orbital physics.",['Squad'],https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/220200/ss_44f586b0c58ed455c309efd87ce15f46e072242b.600x338.jpg?t=1663603925,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/220200/header.jpg?t=1663603925,39.99
the binding of isaac,113200,0.9772554808808394,"Special OfferCheck out our new game! the GameWhen Isaac’s mother starts hearing the voice of God demanding a sacrifice be made to prove her faith, Isaac escapes into the basement facing droves of deranged enemies, lost brothers and sisters, his fears, and eventually his mother. The Binding of Isaac is a randomly generated action RPG shooter with heavy Rogue-like elements. Following Isaac on his journey players will find bizarre treasures that change Isaac’s form giving him super human abilities and enabling him to fight off droves of mysterious creatures, discover secrets and fight his way to safety. Key features: Randomly generated dungeons, items enemies and bosses, you never play the same game twice. Over 100 unique items that not only give you powers but visually change your character. 50+ enemy types each with the ability to become ""special"" making them extra deadly but they also drop better loot. Over 20 bosses. 4 full chapters spanning 8 levels 3+ unlockable classes Multiple endings  Tons of unlockable items, enemies, bosses and more. ",Now 20% More Evil with the Free Halloween update!,"['Edmund McMillen', 'Florian Himsl']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/113200/ss_57c7fb142d6b8f7d38ab62d9f39a055a5b2d4c4c.600x338.jpg?t=1643480517,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/113200/header.jpg?t=1643480517,4.99
left 4 dead 2,550,0.9766238996360028,"Set in the zombie apocalypse, Left 4 Dead 2 (L4D2) is the highly anticipated sequel to the award-winning Left 4 Dead, the #1 co-op game of 2008.                    This co-operative action horror FPS takes you and your friends through the cities, swamps and cemeteries of the Deep South, from Savannah to New Orleans across five expansive campaigns.                    You'll play as one of four new survivors armed with a wide and devastating array of classic and upgraded weapons. In addition to firearms, you'll also get a chance to take out some aggression on infected with a variety of carnage-creating melee weapons, from chainsaws to axes and even the deadly frying pan.                    You'll be putting these weapons to the test against (or playing as in Versus) three horrific and formidable new Special Infected. You'll also encounter five new uncommon common infected, including the terrifying Mudmen.                    Helping to take L4D's frantic, action-packed gameplay to the next level is AI Director 2.0. This improved Director has the ability to procedurally change the weather you'll fight through and the pathways you'll take, in addition to tailoring the enemy population, effects, and sounds to match your performance. L4D2 promises a satisfying and uniquely challenging experience every time the game is played, custom-fitted to your style of play. Next generation co-op action gaming from the makers of Half-Life, Portal, Team Fortress and Counter-Strike. Over 20 new weapons & items headlined by over 10 melee weapons – axe, chainsaw, frying pan, baseball bat – allow you to get up close with the zombies New survivors. New Story. New dialogue.  Five expansive campaigns for co-operative, Versus and Survival game modes. An all new multiplayer mode. Uncommon common infected. Each of the five new campaigns contains at least one new uncommon common zombies which are exclusive to that campaign.  AI Director 2.0: Advanced technology dubbed The AI Director drove L4D's unique gameplay – customizing enemy population, effects, and music, based upon the players’ performance. L4D 2 features The AI Director 2.0 which expands the Director’s ability to customize level layout, world objects, weather, and lighting to reflect different times of day. Stats, rankings, and awards system drives collaborative play ","Set in the zombie apocalypse, Left 4 Dead 2 (L4D2) is the highly anticipated sequel to the award-winning Left 4 Dead, the #1 co-op game of 2008. This co-operative action horror FPS takes you and your friends through the cities, swamps and cemeteries of the Deep South, from Savannah to New Orleans across five expansive campaigns.",['Valve'],https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/550/ss_2eae29fbdfe8e5e8999b96d8bb28c5db70507968.600x338.jpg?t=1713549936,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/550/header.jpg?t=1713549936,9.99
geometry dash,322170,0.9763612342161774,"Jump and fly your way through danger in this rhythm-based action platformer!Prepare for a near impossible challenge in the world of Geometry Dash. Push your skills to the limit as you jump, fly and flip your way through dangerous passages and spiky obstacles.Game Features Rhythm-based Action Platforming! Lots of levels with unique soundtracks! Build and share your own levels using the level editor! Thousands of high quality user generated levels! Unlock new icons and colors to customize your character! Fly rockets, flip gravity and much more! Use practice mode to sharpen your skills! Lots of achievements and rewards! Challenge yourself with the near impossible! Steam users get two exclusive unlockable icons!",Jump and fly your way through danger in this rhythm-based action platformer!,['RobTop Games'],https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/322170/ss_05cb182b93131a5faf0516232a7ad27c83f2c0e8.600x338.jpg?t=1703006148,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/322170/header.jpg?t=1703006148,4.99
batman arkham city game of the year edition,200260,0.9760542372579458,"Batman: Arkham City builds upon the intense, atmospheric foundation of Batman: Arkham Asylum, sending players flying through the expansive Arkham City - five times larger than the game world in Batman: Arkham Asylum - the new maximum security ""home"" for all of Gotham City's thugs, gangsters and insane criminal masterminds. Featuring an incredible Rogues Gallery of Gotham City's most dangerous criminals including Catwoman, The Joker, The Riddler, Two-Face, Harley Quinn, The Penguin, Mr. Freeze and many others, the game allows players to genuinely experience what it feels like to be The Dark Knight delivering justice on the streets of Gotham City. Batman: Arkham City - Game of the Year Edition includes the following DLC:  Catwoman PackNightwing Bundle PackRobin Bundle PackHarley Quinn’s RevengeChallenge Map PackArkham City Skins PackBatman: Arkham City - Game of the Year Edition packages new gameplay content, seven maps, three playable characters, and 12 skins beyond the original retail release:Maps: Wayne Manor, Main Hall, Freight Train, Black Mask, The Joker's Carnival, Iceberg Long, and Batcave Playable Characters: Catwoman, Robin and Nightwing Skins: 1970s Batsuit, Year One Batman, The Dark Knight Returns, Earth One Batman, Batman Beyond Batman, Animated Batman, Sinestro Corps Batman, Long Halloween Catwoman, Animated Catwoman, Animated Robin, Red Robin and Animated Nightwing",Get Batman: Arkham City and all DLC for one low price with the release of the GOTY Edition!,['Rocksteady Studios'],https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/200260/ss_31e817088eb23c1373410e3ea70a933ffbb8dbab.600x338.jpg?t=1702934622,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/200260/header.jpg?t=1702934622,19.99
